epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,9186.48,0.55549,0.3246,0.85724,0.9643,0.94848,0.97705,0.86548,0.41785,0.24158,0.82892,0.000932642,0.000932642,0.000932642
86,9294.82,0.55369,0.32374,0.85599,0.96499,0.94768,0.97621,0.86515,0.41622,0.24033,0.82835,0.000931067,0.000931067,0.000931067
87,9402.67,0.54836,0.3213,0.85572,0.9651,0.94923,0.97712,0.86825,0.4137,0.23909,0.82777,0.000929476,0.000929476,0.000929476
88,9510.63,0.55168,0.32177,0.85579,0.96712,0.95138,0.97844,0.86947,0.41146,0.2379,0.82723,0.000927867,0.000927867,0.000927867
89,9618.99,0.54463,0.31811,0.85343,0.96271,0.95127,0.97832,0.87073,0.40962,0.23681,0.82659,0.000926242,0.000926242,0.000926242
90,9727.41,0.5449,0.31911,0.85484,0.95955,0.9545,0.97761,0.87128,0.4075,0.23553,0.82614,0.000924601,0.000924601,0.000924601
91,9835.76,0.54213,0.31757,0.85206,0.96366,0.94865,0.97804,0.87245,0.4051,0.23457,0.82547,0.000922942,0.000922942,0.000922942
92,9944.16,0.54032,0.31573,0.85144,0.95812,0.95436,0.97791,0.87365,0.40304,0.23374,0.8245,0.000921268,0.000921268,0.000921268
93,10052.3,0.53673,0.31377,0.85022,0.96718,0.94585,0.97776,0.87467,0.40097,0.23214,0.82381,0.000919576,0.000919576,0.000919576
94,10160.8,0.53504,0.31371,0.85101,0.96903,0.94713,0.97718,0.87492,0.39923,0.23156,0.82337,0.000917869,0.000917869,0.000917869
95,10269.3,0.53956,0.31376,0.84953,0.96957,0.94699,0.97881,0.87654,0.39687,0.23034,0.82283,0.000916145,0.000916145,0.000916145
96,10378,0.53844,0.31428,0.8496,0.96412,0.95336,0.97881,0.87741,0.39467,0.22913,0.82225,0.000914405,0.000914405,0.000914405
97,10486.6,0.53034,0.31002,0.84856,0.96946,0.95091,0.97895,0.87882,0.39335,0.22841,0.82183,0.000912649,0.000912649,0.000912649
